index_parent,index_child,type
0,0,wait
0,441,rotate
0,882,rotate
0,1323,rotate
441,0,rotate
441,441,wait
441,882,rotate
441,1323,rotate
882,0,rotate
882,441,rotate
882,882,wait
882,1323,rotate
1323,0,rotate
1323,441,rotate
1323,882,rotate
1323,1323,wait
0,1,translate
883,882,translate
441,462,translate
1344,1323,translate
1,1,wait
1,442,rotate
1,883,rotate
1,1324,rotate
442,1,rotate
442,442,wait
442,883,rotate
442,1324,rotate
883,1,rotate
883,442,rotate
883,883,wait
883,1324,rotate
1324,1,rotate
1324,442,rotate
1324,883,rotate
1324,1324,wait
1,2,translate
884,883,translate
442,463,translate
1345,1324,translate
2,2,wait
2,443,rotate
2,884,rotate
2,1325,rotate
443,2,rotate
443,443,wait
443,884,rotate
443,1325,rotate
884,2,rotate
884,443,rotate
884,884,wait
884,1325,rotate
1325,2,rotate
1325,443,rotate
1325,884,rotate
1325,1325,wait
2,3,translate
885,884,translate
443,464,translate
1346,1325,translate
3,3,wait
3,444,rotate
3,885,rotate
3,1326,rotate
444,3,rotate
444,444,wait
444,885,rotate
444,1326,rotate
885,3,rotate
885,444,rotate
885,885,wait
885,1326,rotate
1326,3,rotate
1326,444,rotate
1326,885,rotate
1326,1326,wait
3,4,translate
886,885,translate
444,465,translate
1347,1326,translate
4,4,wait
4,445,rotate
4,886,rotate
4,1327,rotate
445,4,rotate
445,445,wait
445,886,rotate
445,1327,rotate
886,4,rotate
886,445,rotate
886,886,wait
886,1327,rotate
1327,4,rotate
1327,445,rotate
1327,886,rotate
1327,1327,wait
4,5,translate
887,886,translate
445,466,translate
1348,1327,translate
5,5,wait
5,446,rotate
5,887,rotate
5,1328,rotate
446,5,rotate
446,446,wait
446,887,rotate
446,1328,rotate
887,5,rotate
887,446,rotate
887,887,wait
887,1328,rotate
1328,5,rotate
1328,446,rotate
1328,887,rotate
1328,1328,wait
5,6,translate
888,887,translate
446,467,translate
1349,1328,translate
6,6,wait
6,447,rotate
6,888,rotate
6,1329,rotate
447,6,rotate
447,447,wait
447,888,rotate
447,1329,rotate
888,6,rotate
888,447,rotate
888,888,wait
888,1329,rotate
1329,6,rotate
1329,447,rotate
1329,888,rotate
1329,1329,wait
6,7,translate
889,888,translate
447,468,translate
1350,1329,translate
7,7,wait
7,448,rotate
7,889,rotate
7,1330,rotate
448,7,rotate
448,448,wait
448,889,rotate
448,1330,rotate
889,7,rotate
889,448,rotate
889,889,wait
889,1330,rotate
1330,7,rotate
1330,448,rotate
1330,889,rotate
1330,1330,wait
7,8,translate
890,889,translate
448,469,translate
1351,1330,translate
8,8,wait
8,449,rotate
8,890,rotate
8,1331,rotate
449,8,rotate
449,449,wait
449,890,rotate
449,1331,rotate
890,8,rotate
890,449,rotate
890,890,wait
890,1331,rotate
1331,8,rotate
1331,449,rotate
1331,890,rotate
1331,1331,wait
8,9,translate
891,890,translate
449,470,translate
