x,y,threat
-5,-5,1
-4.9,-5,1
-4.8,-5,1
-4.7,-5,1
-4.6,-5,1
-4.5,-5,1
-4.4,-5,1
-4.3,-5,1
-4.2,-5,1
-4.1,-5,1
-4,-5,1
-3.9,-5,1
-3.8,-5,1
-3.7,-5,1
-3.6,-5,1
-3.5,-5,1
-3.4,-5,1
-3.3,-5,1
-3.2,-5,1
-3.1,-5,1
-3,-5,1
-2.9,-5,1
-2.8,-5,1
-2.7,-5,1
-2.6,-5,1
-2.5,-5,1
-2.4,-5,1
-2.3,-5,1
-2.2,-5,1
-2.1,-5,1
-2,-5,1
-1.9,-5,1
-1.8,-5,1
-1.7,-5,1
-1.6,-5,1
-1.5,-5,1.00001
-1.4,-5,1.00002
-1.3,-5,1.00003
-1.2,-5,1.00006
-1.1,-5,1.0001
-1,-5,1.00018
-0.9,-5,1.00031
-0.8,-5,1.00051
-0.7,-5,1.00084
-0.6,-5,1.00135
-0.5,-5,1.00211
-0.4,-5,1.00323
-0.3,-5,1.00484
-0.2,-5,1.00708
-0.1,-5,1.01015
0,-5,1.01421
0.1,-5,1.01947
0.2,-5,1.02608
0.3,-5,1.03417
0.4,-5,1.04379
0.5,-5,1.05487
0.6,-5,1.06724
0.7,-5,1.08059
0.8,-5,1.09446
0.9,-5,1.10827
1,-5,1.12138
1.1,-5,1.13307
1.2,-5,1.14267
1.3,-5,1.1496
1.4,-5,1.15341
1.5,-5,1.15386
1.6,-5,1.1509
1.7,-5,1.14475
1.8,-5,1.13579
1.9,-5,1.12458
2,-5,1.11179
2.1,-5,1.0981
2.2,-5,1.0842
2.3,-5,1.07069
2.4,-5,1.05805
2.5,-5,1.04662
2.6,-5,1.03664
2.7,-5,1.02817
2.8,-5,1.02119
2.9,-5,1.01561
3,-5,1.01126
3.1,-5,1.00796
3.2,-5,1.00552
3.3,-5,1.00376
3.4,-5,1.00253
3.5,-5,1.00168
3.6,-5,1.00111
3.7,-5,1.00073
3.8,-5,1.00049
3.9,-5,1.00033
4,-5,1.00023
4.1,-5,1.00017
4.2,-5,1.00013
4.3,-5,1.0001
4.4,-5,1.00008
4.5,-5,1.00007
4.6,-5,1.00005
4.7,-5,1.00005
4.8,-5,1.00004
4.9,-5,1.00003
5,-5,1.00003
-5,-4.9,1
-4.9,-4.9,1
-4.8,-4.9,1
-4.7,-4.9,1
-4.6,-4.9,1
-4.5,-4.9,1
-4.4,-4.9,1
-4.3,-4.9,1
-4.2,-4.9,1
-4.1,-4.9,1
-4,-4.9,1
-3.9,-4.9,1
-3.8,-4.9,1
-3.7,-4.9,1
-3.6,-4.9,1
-3.5,-4.9,1
-3.4,-4.9,1
-3.3,-4.9,1
-3.2,-4.9,1
-3.1,-4.9,1
-3,-4.9,1
-2.9,-4.9,1
-2.8,-4.9,1
-2.7,-4.9,1
-2.6,-4.9,1
-2.5,-4.9,1
-2.4,-4.9,1
-2.3,-4.9,1
-2.2,-4.9,1
-2.1,-4.9,1
-2,-4.9,1
-1.9,-4.9,1
-1.8,-4.9,1
-1.7,-4.9,1
-1.6,-4.9,1.00001
-1.5,-4.9,1.00001
-1.4,-4.9,1.00003
-1.3,-4.9,1.00005
-1.2,-4.9,1.00009
-1.1,-4.9,1.00016
-1,-4.9,1.00027
-0.9,-4.9,1.00047
-0.8,-4.9,1.00078
-0.7,-4.9,1.00127
-0.6,-4.9,1.00204
-0.5,-4.9,1.00319
-0.4,-4.9,1.00489
-0.3,-4.9,1.00733
-0.2,-4.9,1.01073
-0.1,-4.9,1.01537
0,-4.9,1.02152
0.1,-4.9,1.02948
0.2,-4.9,1.0395
0.3,-4.9,1.05175
0.4,-4.9,1.06631
0.5,-4.9,1.0831
0.6,-4.9,1.10184
0.7,-4.9,1.12205
0.8,-4.9,1.14306
0.9,-4.9,1.16398
1,-4.9,1.18383
1.1,-4.9,1.20154
1.2,-4.9,1.21608
1.3,-4.9,1.22658
1.4,-4.9,1.23235
1.5,-4.9,1.23302
1.6,-4.9,1.22855
1.7,-4.9,1.21923
1.8,-4.9,1.20566
1.9,-4.9,1.18869
2,-4.9,1.16931
2.1,-4.9,1.14859
2.2,-4.9,1.12754
2.3,-4.9,1.10707
2.4,-4.9,1.08792
2.5,-4.9,1.07062
2.6,-4.9,1.0555
